period,storenum,weeknum,saleb1,apriceb1,rpriceb1,promotb1,saleb2,apriceb2,rpriceb2,promotb2,saleb3,apriceb3,rpriceb3,promotb3,saleb4,apriceb4,rpriceb4,promotb4,saleb5,apriceb5,rpriceb5,promotb5
13,2.00,51.00,"1,426.00",0.93,1.04,0.00,"11,785.00",0.76,1.06,3.00,"1,004.00",0.86,1.01,0.00,"1,377.00",0.78,0.88,0.00,0.00,0.00,0.00,0.00
13,2.00,52.00,"2,148.00",0.84,1.06,0.00,"7,826.00",0.78,1.06,0.00,"1,035.00",0.86,1.01,0.00,"1,527.00",0.79,0.88,0.00,0.00,0.00,0.00,0.00
1,3.00,1.00,611.00,0.67,0.67,0.00,786.00,0.65,0.65,0.00,445.00,0.59,0.59,0.00,753.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
1,3.00,2.00,673.00,0.66,0.66,0.00,957.00,0.65,0.65,0.00,551.00,0.59,0.59,0.00,481.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
1,3.00,3.00,710.00,0.67,0.67,0.00,857.00,0.65,0.65,0.00,465.00,0.59,0.59,0.00,713.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
1,3.00,4.00,478.00,0.66,0.66,0.00,"2,518.00",0.57,0.65,2.00,217.00,0.65,0.65,0.00,557.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
2,3.00,5.00,425.00,0.66,0.66,0.00,"2,217.00",0.57,0.65,3.00,187.00,0.65,0.65,0.00,649.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
2,3.00,6.00,601.00,0.65,0.66,2.00,"1,175.00",0.59,0.65,2.00,263.00,0.65,0.65,0.00,690.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
2,3.00,7.00,607.00,0.67,0.67,0.00,811.00,0.65,0.65,0.00,329.00,0.65,0.65,0.00,637.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
2,3.00,8.00,637.00,0.67,0.68,0.00,748.00,0.65,0.65,0.00,330.00,0.65,0.65,0.00,750.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
3,3.00,9.00,507.00,0.68,0.68,0.00,732.00,0.65,0.65,0.00,395.00,0.65,0.65,0.00,680.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
3,3.00,10.00,467.00,0.68,0.68,0.00,645.00,0.65,0.65,0.00,311.00,0.65,0.65,0.00,722.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
3,3.00,11.00,411.00,0.78,0.78,0.00,657.00,0.76,0.76,0.00,276.00,0.79,0.79,0.00,735.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
3,3.00,12.00,538.00,0.77,0.77,0.00,680.00,0.76,0.76,0.00,331.00,0.79,0.79,0.00,747.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
4,3.00,13.00,"2,670.00",0.57,0.77,3.00,508.00,0.76,0.76,0.00,199.00,0.79,0.79,0.00,591.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
4,3.00,14.00,"2,966.00",0.57,0.78,3.00,382.00,0.76,0.76,2.00,157.00,0.79,0.79,0.00,479.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
4,3.00,15.00,857.00,0.67,0.78,2.00,532.00,0.77,0.77,0.00,277.00,0.79,0.79,0.00,677.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
4,3.00,16.00,440.00,0.78,0.78,2.00,640.00,0.79,0.79,0.00,280.00,0.79,0.79,0.00,755.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
5,3.00,17.00,455.00,0.78,0.78,2.00,660.00,0.79,0.79,0.00,249.00,0.79,0.79,0.00,394.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
5,3.00,18.00,472.00,0.78,0.78,2.00,745.00,0.79,0.79,0.00,287.00,0.79,0.79,0.00,440.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00
5,3.00,19.00,430.00,0.78,0.78,2.00,616.00,0.79,0.79,0.00,245.00,0.79,0.79,0.00,649.00,0.65,0.65,0.00,0.00,0.00,0.00,0.00
5,3.00,20.00,413.00,0.78,0.78,2.00,586.00,0.79,0.79,0.00,227.00,0.79,0.79,0.00,542.00,0.65,0.65,0.00,0.00,0.00,0.00,0.00
6,3.00,21.00,413.00,0.77,0.77,0.00,624.00,0.79,0.79,0.00,249.00,0.79,0.79,0.00,586.00,0.65,0.65,0.00,0.00,0.00,0.00,0.00
6,3.00,22.00,424.00,0.79,0.79,0.00,596.00,0.79,0.79,0.00,261.00,0.79,0.79,0.00,534.00,0.65,0.65,0.00,0.00,0.00,0.00,0.00
6,3.00,23.00,"1,063.00",0.67,0.79,1.00,725.00,0.79,0.79,0.00,279.00,0.79,0.79,0.00,599.00,0.65,0.65,0.00,0.00,0.00,0.00,0.00
6,3.00,24.00,469.00,0.77,0.78,0.00,609.00,0.79,0.79,0.00,252.00,0.79,0.79,0.00,639.00,0.65,0.65,0.00,0.00,0.00,0.00,0.00
7,3.00,25.00,367.00,0.82,0.82,0.00,568.00,0.79,0.79,0.00,184.00,0.80,0.80,0.00,559.00,0.66,0.66,0.00,0.00,0.00,0.00,0.00
7,3.00,26.00,247.00,0.81,0.81,0.00,481.00,0.79,0.79,0.00,119.00,0.81,0.81,0.00,474.00,0.68,0.68,0.00,0.00,0.00,0.00,0.00
7,3.00,27.00,448.00,0.81,0.81,0.00,779.00,0.79,0.79,0.00,204.00,0.81,0.81,0.00,706.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
7,3.00,28.00,401.00,0.83,0.83,0.00,604.00,0.79,0.79,0.00,158.00,0.81,0.81,0.00,551.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
8,3.00,29.00,359.00,0.83,0.83,0.00,612.00,0.79,0.79,0.00,215.00,0.81,0.81,0.00,597.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
8,3.00,30.00,156.00,0.83,0.83,0.00,257.00,0.79,0.79,0.00,"1,026.00",0.65,0.81,3.00,207.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
8,3.00,31.00,272.00,0.83,0.84,0.00,420.00,0.79,0.79,0.00,"1,672.00",0.65,0.81,2.00,311.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
8,3.00,32.00,476.00,0.82,0.84,0.00,778.00,0.79,0.79,0.00,907.00,0.68,0.80,2.00,601.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
9,3.00,33.00,341.00,0.84,0.85,0.00,636.00,0.79,0.79,0.00,370.00,0.79,0.79,0.00,610.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00
